dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
19.0,5.5,15.0,27.0,24.0,0
19.0,5.5,14.0,26.0,22.0,0
19.0,5.5,13.0,25.0,21.0,0
21.0,5.5,19.0,26.0,24.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,12.0,26.0,23.0,0
20.0,5.4,11.0,26.0,23.0,0
21.0,5.4,18.0,26.0,26.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.5,13.0,26.0,22.0,0
19.0,5.4,12.0,25.0,21.0,0
19.0,5.0,10.0,27.0,25.0,0
19.0,5.0,9.0,26.0,22.0,0
18.0,5.1,10.0,25.0,21.0,0
18.0,5.1,11.0,25.0,21.0,0
21.0,5.6,15.0,26.0,27.0,0
19.0,5.5,15.0,27.0,23.0,0
19.0,5.300000000000001,15.0,26.0,21.0,0
19.0,5.2,15.0,26.0,20.0,0
20.0,5.6,18.0,25.0,25.0,0
19.0,5.5,15.0,27.0,23.0,0
20.0,5.300000000000001,12.0,27.0,22.0,0
19.0,5.4,13.0,27.0,23.0,0
20.0,5.1,17.0,27.0,19.0,0
21.0,5.0,13.0,25.0,20.0,0
20.0,5.1,11.0,25.0,21.0,0
20.0,5.2,10.0,25.0,21.0,0
21.0,5.6,15.0,26.0,27.0,0
19.0,5.5,15.0,27.0,23.0,0
19.0,5.300000000000001,15.0,26.0,21.0,0
19.0,5.300000000000001,15.0,26.0,20.0,0
20.0,5.6,12.0,28.0,22.0,0
21.0,5.4,10.0,27.0,20.0,0
20.0,5.4,11.0,26.0,19.0,0
19.0,5.300000000000001,11.0,26.0,19.0,0
21.0,5.6,18.0,26.0,25.0,0
